Marketplace;Address;TokenID;MetadataURL;Decentralized
https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/4214;0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b;4214;https://clonex-assets.rtfkt.com/4214;false
https://opensea.io/assets/ethereum/0x60e4d786628fea6478f785a6d7e704777c86a7c6/17942;0x60e4d786628fea6478f785a6d7e704777c86a7c6;17942;https://boredapeyachtclub.com/api/mutants/17942;false
https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/8631;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/3630;0x8a90cab2b38dba80c64b7734e58ee1db38b8992e;3630;ipfs://QmPMc4tcBsMqLRuCQtPmPe84bpSjrC3Ky7t3JWuHXYB4aS/3630;true
https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/31;0x8a90cab2b38dba80c64b7734e58ee1db38b8992e;31;ipfs://QmPMc4tcBsMqLRuCQtPmPe84bpSjrC3Ky7t3JWuHXYB4aS/31;true
https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/7595;0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b;7595;https://clonex-assets.rtfkt.com/7595;false
https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/8237;0xed5af388653567af2f388e6224dc7c4b3241c544;8237;https://ikzttp.mypinata.cloud/ipfs/QmQFkLSQysj94s5GvTHPyzTxrawwtjgiiYS2TBLgrvw8CW/8237;true
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/907;0x23581767a106ae21c074b2276d25e5c3e136a68b;907;https://live---metadata-5covpqijaa-uc.a.run.app/metadata/907;false
https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/15;0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d;15;ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/15;true
https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/8292;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/2693;0x8a90cab2b38dba80c64b7734e58ee1db38b8992e;2693;ipfs://QmPMc4tcBsMqLRuCQtPmPe84bpSjrC3Ky7t3JWuHXYB4aS/2693;true
https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/5030;0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b;5030;https://clonex-assets.rtfkt.com/5030;false
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/5066;0x23581767a106ae21c074b2276d25e5c3e136a68b;5066;https://live---metadata-5covpqijaa-uc.a.run.app/metadata/5066;false
https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/2791;0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d;2791;ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/2791;true
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/4389;0x23581767a106ae21c074b2276d25e5c3e136a68b;4389;https://live---metadata-5covpqijaa-uc.a.run.app/metadata/4389;false
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/8242;0x23581767a106ae21c074b2276d25e5c3e136a68b;8242;https://live---metadata-5covpqijaa-uc.a.run.app/metadata/8242;false
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/2442;0x23581767a106ae21c074b2276d25e5c3e136a68b;2442;https://live---metadata-5covpqijaa-uc.a.run.app/metadata/2442;false
https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/6554;0xed5af388653567af2f388e6224dc7c4b3241c544;6554;https://ikzttp.mypinata.cloud/ipfs/QmQFkLSQysj94s5GvTHPyzTxrawwtjgiiYS2TBLgrvw8CW/6554;true
https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/12332;0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b;12332;https://clonex-assets.rtfkt.com/12332;false
https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/6346;0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d;6346;ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/6346;true
https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/7046;0x8a90cab2b38dba80c64b7734e58ee1db38b8992e;7046;ipfs://QmPMc4tcBsMqLRuCQtPmPe84bpSjrC3Ky7t3JWuHXYB4aS/7046;true
https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/2382;0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b;2382;https://clonex-assets.rtfkt.com/2382;false
https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/3700;0x8a90cab2b38dba80c64b7734e58ee1db38b8992e;3700;ipfs://QmPMc4tcBsMqLRuCQtPmPe84bpSjrC3Ky7t3JWuHXYB4aS/3700;true
https://opensea.io/assets/ethereum/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/115792089237316195423570985008687907833193325017305194695118482169438805164014;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0x5cc5b05a8a13e3fbdb0bb9fccd98d38e50f90c38/75982;0x5cc5b05a8a13e3fbdb0bb9fccd98d38e50f90c38;75982;https://api.sandbox.game/lands/75982/metadata.json;false
https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/7016;0xed5af388653567af2f388e6224dc7c4b3241c544;7016;https://ikzttp.mypinata.cloud/ipfs/QmQFkLSQysj94s5GvTHPyzTxrawwtjgiiYS2TBLgrvw8CW/7016;true
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/8325;0x23581767a106ae21c074b2276d25e5c3e136a68b;8325;data:application/json;false
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/4219;0x23581767a106ae21c074b2276d25e5c3e136a68b;4219;https://live---metadata-5covpqijaa-uc.a.run.app/metadata/4219;false
https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/7113;0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d;7113;ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/7113;true
https://opensea.io/assets/ethereum/0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258/68489;0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258;68489;https://api.otherside.xyz/lands/68489;false
